method_name	method_name_f	error_message	num	pct	example_dataset
SCOUP	SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} 492 236 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	4	0.007936507936507936	cycle_7
SCOUP	SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} 5 695 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	4	0.007936507936507936	cycle_10
SCOUP	SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} 5310 264 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	4	0.007936507936507936	real/cell-cycle_buettner
SCOUP	SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} 746 873 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	4	0.007936507936507936	cycle_2
SCOUP	SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} 860 489 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	4	0.007936507936507936	cycle_3
SCOUP	SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} {tmpfile} 89 345 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	4	0.007936507936507936	cycle_11
SCUBA	SCUBA	"Error running command: 
/bin/bash -c 'cd /scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv;source bin/activate;export MKL_NUM_THREADS=1;export NUMEXPR_NUM_THREADS=1;export OMP_NUM_THREADS=1;python3 /scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/wrapper.py {tmpfile}'
-- output --
-- error --
divide by zero encountered in log
divide by zero encountered in log
invalid value encountered in subtract
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/wrapper.py"", line 30, in <module>
    min_percentage_split=p[""min_percentage_split""])
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv/lib/python3.5/site-packages/PySCUBA/SCUBA_core.py"", line 193, in initialize_tree
    log_W, E_log_W, s_k = gap_stats(XX, 1, k_max)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv/lib/python3.5/site-packages/PySCUBA/Gap_stats.py"", line 121, in gap_stats
    log_W_list.append(np.log(W_k(data, centroids, cluster_IDs))) 
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv/lib/python3.5/site-packages/PySCUBA/Gap_stats.py"", line 88, in W_k
    assert len(centroids) == N_clusters
AssertionError"	1	0.001984126984126984	consecutive_bifurcating_10
SCUBA	SCUBA	"Error running command: 
/bin/bash -c 'cd /scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv;source bin/activate;export MKL_NUM_THREADS=1;export NUMEXPR_NUM_THREADS=1;export OMP_NUM_THREADS=1;python3 /scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/wrapper.py {tmpfile}'
-- output --
-- error --
Mean of empty slice.
invalid value encountered in double_scalars
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/wrapper.py"", line 30, in <module>
    min_percentage_split=p[""min_percentage_split""])
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv/lib/python3.5/site-packages/PySCUBA/SCUBA_core.py"", line 123, in initialize_tree
    log_W, E_log_W, s_k = gap_stats(X, 1, k_max)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv/lib/python3.5/site-packages/PySCUBA/Gap_stats.py"", line 119, in gap_stats
    centroids, cluster_IDs = KMEANS(data, k)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv/lib/python3.5/site-packages/PySCUBA/Gap_stats.py"", line 25, in KMEANS
    centroids, cluster_IDs, _ = k_means(data, k, init = 'k-means++', precompute_distances = 'auto', n_init = 20, max_iter = 200)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 346, in k_means
    x_squared_norms=x_squared_norms, random_state=random_state)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 478, in _kmeans_single_lloyd
    x_squared_norms=x_squared_norms)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 684, in _init_centroids
    x_squared_norms=x_squared_norms)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 100, in _k_init
    squared=True)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/metrics/pairwise.py"", line 223, in euclidean_distances
    X, Y = check_pairwise_arrays(X, Y)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/metrics/pairwise.py"", line 110, in check_pairwise_arrays
    warn_on_dtype=warn_on_dtype, estimator=estimator)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/utils/validation.py"", line 439, in check_array
    context))
ValueError: Found array with 0 feature(s) (shape=(1, 0)) while a minimum of 1 is required by check_pairwise_arrays."	1	0.001984126984126984	cycle_6
SCUBA	SCUBA	"Error running command: 
/bin/bash -c 'cd /scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv;source bin/activate;export MKL_NUM_THREADS=1;export NUMEXPR_NUM_THREADS=1;export OMP_NUM_THREADS=1;python3 /scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/wrapper.py {tmpfile}'
-- output --
-- error --
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/wrapper.py"", line 30, in <module>
    min_percentage_split=p[""min_percentage_split""])
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv/lib/python3.5/site-packages/PySCUBA/SCUBA_core.py"", line 157, in initialize_tree
    kmeans.fit(X)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 884, in fit
    X = self._check_fit_data(X)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 858, in _check_fit_data
    X = check_array(X, accept_sparse='csr', dtype=[np.float64, np.float32])
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/utils/validation.py"", line 439, in check_array
    context))
ValueError: Found array with 0 feature(s) (shape=(11, 0)) while a minimum of 1 is required."	1	0.001984126984126984	cycle_6
SCUBA	SCUBA	"Error running command: 
/bin/bash -c 'cd /scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv;source bin/activate;export MKL_NUM_THREADS=1;export NUMEXPR_NUM_THREADS=1;export OMP_NUM_THREADS=1;python3 /scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/wrapper.py {tmpfile}'
-- output --
-- error --
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/wrapper.py"", line 30, in <module>
    min_percentage_split=p[""min_percentage_split""])
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv/lib/python3.5/site-packages/PySCUBA/SCUBA_core.py"", line 157, in initialize_tree
    kmeans.fit(X)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 884, in fit
    X = self._check_fit_data(X)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 858, in _check_fit_data
    X = check_array(X, accept_sparse='csr', dtype=[np.float64, np.float32])
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/utils/validation.py"", line 439, in check_array
    context))
ValueError: Found array with 0 feature(s) (shape=(12, 0)) while a minimum of 1 is required."	1	0.001984126984126984	cycle_6
SCUBA	SCUBA	"Error running command: 
/bin/bash -c 'cd /scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv;source bin/activate;export MKL_NUM_THREADS=1;export NUMEXPR_NUM_THREADS=1;export OMP_NUM_THREADS=1;python3 /scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/wrapper.py {tmpfile}'
-- output --
-- error --
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/wrapper.py"", line 30, in <module>
    min_percentage_split=p[""min_percentage_split""])
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/SCUBA/venv/lib/python3.5/site-packages/PySCUBA/SCUBA_core.py"", line 157, in initialize_tree
    kmeans.fit(X)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 884, in fit
    X = self._check_fit_data(X)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 858, in _check_fit_data
    X = check_array(X, accept_sparse='csr', dtype=[np.float64, np.float32])
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/utils/validation.py"", line 439, in check_array
    context))
ValueError: Found array with 0 feature(s) (shape=(13, 0)) while a minimum of 1 is required."	1	0.001984126984126984	cycle_6
SCUBA	SCUBA	Not all states in ‘milestone_network’ are in ‘milestone_ids’.	1	0.001984126984126984	bifurcating_11
SLICE	SLICE	replacement has 1 row, data has 0	26	0.051587301587301584	bifurcating_7
SLICE	SLICE	some weights should be positive	1	0.001984126984126984	linear_long_11
slingshot	slingshot	'x' must be an array of at least two dimensions	1	0.001984126984126984	bifurcating_loop_8
slingshot	slingshot	Lapack routine dgesv: system is exactly singular: U[1,1] = 0	4	0.007936507936507936	bifurcating_loop_8
slingshot	slingshot	Lapack routine dgesv: system is exactly singular: U[3,3] = 0	1	0.001984126984126984	cycle_10
slingshot	slingshot	system is computationally singular: reciprocal condition number = 1.07045e-17	1	0.001984126984126984	linear_long_11
slingshot	slingshot	system is computationally singular: reciprocal condition number = 1.08378e-17	1	0.001984126984126984	linear_long_11
slingshot	slingshot	system is computationally singular: reciprocal condition number = 2.38096e-18	1	0.001984126984126984	linear_long_11
slingshot	slingshot	system is computationally singular: reciprocal condition number = 2.89565e-18	2	0.003968253968253968	cycle_10
StemID	StemID	0 (non-NA) cases	11	0.021825396825396824	bifurcating_10
StemID	StemID	missing value where TRUE/FALSE needed	166	0.32936507936507936	linear_10
StemID	StemID	NA values in the dissimilarity matrix not allowed.	4	0.007936507936507936	linear_long_11
StemID	StemID	Number of clusters 'k' must be in {1,2, .., n-1}; hence n >= 2	16	0.031746031746031744	consecutive_bifurcating_8
Wanderlust	Wanderlust	"Error running command: 
/bin/bash -c 'cd /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv;source bin/activate;export MKL_NUM_THREADS=1;export NUMEXPR_NUM_THREADS=1;export OMP_NUM_THREADS=1;python /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py {tmpfile}'
-- output --
Building lNN graph...
lNN computed in : 0.00 seconds
Determining waypoints if not specified...
Determining shortest path distances and perspectives....
-- error --
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py"", line 18, in <module>
    wb.run_wishbone(start_cell=p[""start_cell_id""], components_list=p[""components_list""], num_waypoints=int(p[""num_waypoints""]), branch=p[""branch""], k=p[""k""])
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/wb.py"", line 1068, in run_wishbone
    s=s, k=k, l=k, num_waypoints=num_waypoints, branch=branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 103"	1	0.001984126984126984	bifurcating_converging_6
Wanderlust	Wanderlust	"Error running command: 
/bin/bash -c 'cd /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv;source bin/activate;export MKL_NUM_THREADS=1;export NUMEXPR_NUM_THREADS=1;export OMP_NUM_THREADS=1;python /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py {tmpfile}'
-- output --
Building lNN graph...
lNN computed in : 0.00 seconds
Determining waypoints if not specified...
Determining shortest path distances and perspectives....
-- error --
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py"", line 18, in <module>
    wb.run_wishbone(start_cell=p[""start_cell_id""], components_list=p[""components_list""], num_waypoints=int(p[""num_waypoints""]), branch=p[""branch""], k=p[""k""])
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/wb.py"", line 1068, in run_wishbone
    s=s, k=k, l=k, num_waypoints=num_waypoints, branch=branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 119"	1	0.001984126984126984	trifurcating_6
Wanderlust	Wanderlust	"Error running command: 
/bin/bash -c 'cd /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv;source bin/activate;export MKL_NUM_THREADS=1;export NUMEXPR_NUM_THREADS=1;export OMP_NUM_THREADS=1;python /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py {tmpfile}'
-- output --
Building lNN graph...
lNN computed in : 0.00 seconds
Determining waypoints if not specified...
Determining shortest path distances and perspectives....
-- error --
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py"", line 18, in <module>
    wb.run_wishbone(start_cell=p[""start_cell_id""], components_list=p[""components_list""], num_waypoints=int(p[""num_waypoints""]), branch=p[""branch""], k=p[""k""])
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/wb.py"", line 1068, in run_wishbone
    s=s, k=k, l=k, num_waypoints=num_waypoints, branch=branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 15"	3	0.005952380952380952	bifurcating_converging_6
Wanderlust	Wanderlust	"Error running command: 
/bin/bash -c 'cd /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv;source bin/activate;export MKL_NUM_THREADS=1;export NUMEXPR_NUM_THREADS=1;export OMP_NUM_THREADS=1;python /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py {tmpfile}'
-- output --
Building lNN graph...
lNN computed in : 0.00 seconds
Determining waypoints if not specified...
Determining shortest path distances and perspectives....
-- error --
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py"", line 18, in <module>
    wb.run_wishbone(start_cell=p[""start_cell_id""], components_list=p[""components_list""], num_waypoints=int(p[""num_waypoints""]), branch=p[""branch""], k=p[""k""])
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/wb.py"", line 1068, in run_wishbone
    s=s, k=k, l=k, num_waypoints=num_waypoints, branch=branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 157"	1	0.001984126984126984	trifurcating_6
Wanderlust	Wanderlust	"Error running command: 
/bin/bash -c 'cd /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv;source bin/activate;export MKL_NUM_THREADS=1;export NUMEXPR_NUM_THREADS=1;export OMP_NUM_THREADS=1;python /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py {tmpfile}'
-- output --
Building lNN graph...
lNN computed in : 0.00 seconds
Determining waypoints if not specified...
Determining shortest path distances and perspectives....
-- error --
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py"", line 18, in <module>
    wb.run_wishbone(start_cell=p[""start_cell_id""], components_list=p[""components_list""], num_waypoints=int(p[""num_waypoints""]), branch=p[""branch""], k=p[""k""])
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/wb.py"", line 1068, in run_wishbone
    s=s, k=k, l=k, num_waypoints=num_waypoints, branch=branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 192"	1	0.001984126984126984	converging_7
Wanderlust	Wanderlust	"Error running command: 
/bin/bash -c 'cd /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv;source bin/activate;export MKL_NUM_THREADS=1;export NUMEXPR_NUM_THREADS=1;export OMP_NUM_THREADS=1;python /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py {tmpfile}'
-- output --
Building lNN graph...
lNN computed in : 0.00 seconds
Determining waypoints if not specified...
Determining shortest path distances and perspectives....
-- error --
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py"", line 18, in <module>
    wb.run_wishbone(start_cell=p[""start_cell_id""], components_list=p[""components_list""], num_waypoints=int(p[""num_waypoints""]), branch=p[""branch""], k=p[""k""])
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/wb.py"", line 1068, in run_wishbone
    s=s, k=k, l=k, num_waypoints=num_waypoints, branch=branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 2"	1	0.001984126984126984	real/germline-human-male-weeks_li
Wanderlust	Wanderlust	"Error running command: 
/bin/bash -c 'cd /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv;source bin/activate;export MKL_NUM_THREADS=1;export NUMEXPR_NUM_THREADS=1;export OMP_NUM_THREADS=1;python /scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py {tmpfile}'
-- output --
Building lNN graph...
lNN computed in : 0.00 seconds
Determining waypoints if not specified...
Determining shortest path distances and perspectives....
-- error --
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/wrapper.py"", line 18, in <module>
    wb.run_wishbone(start_cell=p[""start_cell_id""], components_list=p[""components_list""], num_waypoints=int(p[""num_waypoints""]), branch=p[""branch""], k=p[""k""])
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/wb.py"", line 1068, in run_wishbone
    s=s, k=k, l=k, num_waypoints=num_waypoints, branch=branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 21"	2	0.003968253968253968	trifurcating_3
