method_name	error_message	n	example
AGA pseudotime	"bs[""cell_id""] == p[""start_cells""])[0]
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 879, in wrapper
    res = na_op(values, other)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 783, in na_op
    result = _comp_method_OBJECT_ARRAY(op, x, y)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 761, in _comp_method_OBJECT_ARRAY
    result = lib.vec_compare(x, y, op)
  File ""pandas/_libs/lib.pyx"", line 742, in pandas._libs.lib.vec_compare
ValueError: Arrays were different lengths: 235 vs 2"	4	synthetic/converging_7
AGA pseudotime	"bs[""cell_id""] == p[""start_cells""])[0]
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 879, in wrapper
    res = na_op(values, other)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 783, in na_op
    result = _comp_method_OBJECT_ARRAY(op, x, y)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 761, in _comp_method_OBJECT_ARRAY
    result = lib.vec_compare(x, y, op)
  File ""pandas/_libs/lib.pyx"", line 742, in pandas._libs.lib.vec_compare
ValueError: Arrays were different lengths: 263 vs 2"	4	synthetic/converging_4
AGA pseudotime	"bs[""cell_id""] == p[""start_cells""])[0]
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 879, in wrapper
    res = na_op(values, other)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 783, in na_op
    result = _comp_method_OBJECT_ARRAY(op, x, y)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 761, in _comp_method_OBJECT_ARRAY
    result = lib.vec_compare(x, y, op)
  File ""pandas/_libs/lib.pyx"", line 742, in pandas._libs.lib.vec_compare
ValueError: Arrays were different lengths: 342 vs 2"	4	synthetic/converging_11
AGA pseudotime	"bs[""cell_id""] == p[""start_cells""])[0]
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 879, in wrapper
    res = na_op(values, other)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 783, in na_op
    result = _comp_method_OBJECT_ARRAY(op, x, y)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 761, in _comp_method_OBJECT_ARRAY
    result = lib.vec_compare(x, y, op)
  File ""pandas/_libs/lib.pyx"", line 742, in pandas._libs.lib.vec_compare
ValueError: Arrays were different lengths: 351 vs 2"	4	real/blastocyst-monkey_nakamura
AGA pseudotime	"bs[""cell_id""] == p[""start_cells""])[0]
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 879, in wrapper
    res = na_op(values, other)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 783, in na_op
    result = _comp_method_OBJECT_ARRAY(op, x, y)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 761, in _comp_method_OBJECT_ARRAY
    result = lib.vec_compare(x, y, op)
  File ""pandas/_libs/lib.pyx"", line 742, in pandas._libs.lib.vec_compare
ValueError: Arrays were different lengths: 493 vs 2"	4	synthetic/converging_3
AGA pseudotime	"bs[""cell_id""] == p[""start_cells""])[0]
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 879, in wrapper
    res = na_op(values, other)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 783, in na_op
    result = _comp_method_OBJECT_ARRAY(op, x, y)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 761, in _comp_method_OBJECT_ARRAY
    result = lib.vec_compare(x, y, op)
  File ""pandas/_libs/lib.pyx"", line 742, in pandas._libs.lib.vec_compare
ValueError: Arrays were different lengths: 691 vs 2"	4	synthetic/converging_9
AGA pseudotime	"bs[""cell_id""] == p[""start_cells""])[0]
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 879, in wrapper
    res = na_op(values, other)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 783, in na_op
    result = _comp_method_OBJECT_ARRAY(op, x, y)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 761, in _comp_method_OBJECT_ARRAY
    result = lib.vec_compare(x, y, op)
  File ""pandas/_libs/lib.pyx"", line 742, in pandas._libs.lib.vec_compare
ValueError: Arrays were different lengths: 871 vs 2"	4	synthetic/converging_2
AGA pseudotime	"obs[""cell_id""] == p[""start_cells""])[0]
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 879, in wrapper
    res = na_op(values, other)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 783, in na_op
    result = _comp_method_OBJECT_ARRAY(op, x, y)
  File ""/home/robrechtc/.local/lib/python3.5/site-packages/pandas/core/ops.py"", line 761, in _comp_method_OBJECT_ARRAY
    result = lib.vec_compare(x, y, op)
  File ""pandas/_libs/lib.pyx"", line 742, in pandas._libs.lib.vec_compare
ValueError: Arrays were different lengths: 58 vs 2"	4	synthetic/converging_8
GPfates	"py"", line 49, in __call__
    self = super(ParametersChangedMeta, self).__call__(*args, **kw)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/kern/src/rbf.py"", line 23, in __init__
    super(RBF, self).__init__(input_dim, variance, lengthscale, ARD, active_dims, name, useGPU=useGPU)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/kern/src/stationary.py"", line 72, in __init__
    assert lengthscale.size in [1, input_dim], ""Bad number of lengthscales""
AssertionError: Bad number of lengthscales"	4	synthetic/linear_long_11
Growing Neural Gas	Memory limit exceeded	4	real/epidermis-hair-spatial_joost
Growing Neural Gas	subscript out of bounds	4	synthetic/linear_long_11
sincell	subscript out of bounds	4	real/cortical-interneuron-differentiation_frazer
slingshot	Lapack routine dgesv: system is exactly singular: U[1,1] = 0	4	synthetic/bifurcating_loop_8
StemID	cannot allocate vector of size 1.1 Gb	4	real/dentate-gyrus-neurogenesis_hochgerner
StemID	cannot allocate vector of size 1.6 Gb	4	real/oligodendrocyte-differentiation-clusters_marques
StemID	NA values in the dissimilarity matrix not allowed.	4	synthetic/linear_long_11
StemID	Time limit exceeded	4	real/oligodendrocyte-differentiation-subclusters_marques
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 103"	4	real/blastocyst-monkey_nakamura
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 603"	4	synthetic/consecutive_bifurcating_10
Wishbone	"/wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 4"	4	real/blastocyst-monkey_nakamura
Wishbone	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 603"	4	synthetic/consecutive_bifurcating_10
Wishbone	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 15"	4	synthetic/bifurcating_converging_6
cellTree with vem	"sort(unique(c(cell_graph$from, cell_graph$to))) not equal to sort(names(to_keep)).
Lengths differ: 341 is not 342"	3	synthetic/converging_11
GPfates	Time limit exceeded	3	real/oligodendrocyte-differentiation-subclusters_marques
slingshot	system is computationally singular: reciprocal condition number = 8.68694e-18	3	synthetic/cycle_10
StemID2	cannot allocate vector of size 749.1 Mb	3	real/oligodendrocyte-differentiation-subclusters_marques
Wanderlust	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 44"	3	synthetic/bifurcating_loop_7
Wishbone	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 73"	3	synthetic/bifurcating_loop_7
cellTree with vem	"sort(unique(c(cell_graph$from, cell_graph$to))) not equal to sort(names(to_keep)).
Lengths differ: 679 is not 680"	2	synthetic/converging_10
cellTree with vem	"sort(unique(c(cell_graph$from, cell_graph$to))) not equal to sort(names(to_keep)).
Lengths differ: 693 is not 695"	2	synthetic/cycle_10
Monocle ICA	Memory limit exceeded	2	synthetic/linear_long_10
SCUBA	"/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 884, in fit
    X = self._check_fit_data(X)
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/cluster/k_means_.py"", line 858, in _check_fit_data
    X = check_array(X, accept_sparse='csr', dtype=[np.float64, np.float32])
  File ""/software/shared/apps/x86_64/python/3.5.1/lib/python3.5/site-packages/sklearn/utils/validation.py"", line 439, in check_array
    context))
ValueError: Found array with 0 feature(s) (shape=(14, 0)) while a minimum of 1 is required."	2	synthetic/cycle_6
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 192"	2	real/olfactory-projection-neurons-DA1_horns
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 216"	2	synthetic/converging_7
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 265"	2	real/blastocyst-monkey_nakamura
Wanderlust	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 276"	2	synthetic/linear_long_11
Wanderlust	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 15"	2	synthetic/bifurcating_converging_6
Wanderlust	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 26"	2	real/epiblast-monkey_nakamura
Wanderlust	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 33"	2	real/epiblast-monkey_nakamura
Wanderlust	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 48"	2	synthetic/linear_long_11
Wanderlust	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 50"	2	real/ICM-monkey_nakamura
Wanderlust	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 64"	2	real/distal-lung-epithelium_treutlein
Wanderlust	"wishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 83"	2	real/germline-human-male_li
Wishbone	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 146"	2	real/epiblast-monkey_nakamura
Wishbone	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 267"	2	real/olfactory-projection-neurons-DA1_horns
Wishbone	"ishbone/core.py"", line 50, in wishbone
    traj, dist, iter_l, paths_l2l = _trajectory_landmarks( klnn, data, [s], num_waypoints, partial_order, verbose, metric, flock_waypoints, band_sample, branch)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in _trajectory_landmarks
    paths_l2l.append( [paths[li] for li in l] )
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/Wishbone/venv/lib/python3.5/site-packages/wishbone/core.py"", line 263, in <listcomp>
    paths_l2l.append( [paths[li] for li in l] )
KeyError: 276"	2	synthetic/linear_long_11
